"municipio","low_cost","max(precio_gasoleo_a)","min(precio_gasoleo_a)","mean(precio_gasoleo_a)","max(precio_gasolina_95_e5_premium)","min(precio_gasolina_95_e5_premium)","mean(precio_gasolina_95_e5_premium)"
"Freila","No_Lowcost",1.399,1.399,1.399,1.659,1.659,1.659
"Fuente Álamo de Murcia","No_Lowcost",1.369,1.369,1.369,1.549,1.549,1.549
"Fuente Obejuna","No_Lowcost",1.349,1.349,1.349,1.509,1.509,1.509
"Fuentespina","No_Lowcost",1.395,1.395,1.395,1.561,1.561,1.561
"Galisteo","No_Lowcost",1.389,1.389,1.389,1.579,1.579,1.579
"Gandia","No_Lowcost",1.379,1.359,1.369,1.579,1.559,1.56566666666667
"Garriga (La)","No_Lowcost",1.409,1.409,1.409,1.549,1.549,1.549
"Getafe","No_Lowcost",1.425,1.379,1.40766666666667,1.604,1.559,1.589
"Getxo","No_Lowcost",1.419,1.419,1.419,1.599,1.599,1.599
"Gijón","No_Lowcost",1.409,1.349,1.382,1.589,1.539,1.559
"Gineta (La)","No_Lowcost",1.409,1.409,1.409,1.539,1.539,1.539
"Girona","No_Lowcost",1.379,1.379,1.379,1.609,1.609,1.609
"Grado","No_Lowcost",1.375,1.375,1.375,1.574,1.574,1.574
"Granada","No_Lowcost",1.379,1.329,1.354,1.569,1.529,1.549
"Guadalajara","No_Lowcost",1.389,1.389,1.389,1.599,1.599,1.599
"Guadarrama","No_Lowcost",1.419,1.419,1.419,1.604,1.604,1.604
"Guardamar del Segura","No_Lowcost",1.369,1.369,1.369,1.574,1.574,1.574
"Guarromán","Lowcost",1.389,1.389,1.389,1.589,1.589,1.589
"Güímar","Lowcost",1.089,1.089,1.089,1.179,1.179,1.179
"Hellín","No_Lowcost",1.389,1.389,1.389,1.554,1.554,1.554
"Honrubia","No_Lowcost",1.384,1.384,1.384,1.574,1.574,1.574
"Hospitalet de Llobregat (L')","No_Lowcost",1.449,1.449,1.449,1.689,1.689,1.689
"Huelva","No_Lowcost",1.399,1.375,1.38475,1.564,1.549,1.55525
"Huesca","No_Lowcost",1.359,1.355,1.357,1.569,1.519,1.544
"Huétor Vega","No_Lowcost",1.369,1.369,1.369,1.579,1.579,1.579
"Igualada","Lowcost",1.229,1.229,1.229,1.349,1.349,1.349
"Igualada","No_Lowcost",1.389,1.389,1.389,1.579,1.579,1.579
"Illescas","No_Lowcost",1.439,1.439,1.439,1.579,1.579,1.579
"Jaén","No_Lowcost",1.409,1.345,1.38433333333333,1.569,1.529,1.55566666666667
"Jávea/Xàbia","No_Lowcost",1.369,1.345,1.357,1.549,1.534,1.5415
"Jerez de la Frontera","No_Lowcost",1.389,1.365,1.37725,1.579,1.549,1.56275
"Jumilla","No_Lowcost",1.389,1.389,1.389,1.589,1.589,1.589
"Larraun","No_Lowcost",1.425,1.425,1.425,1.624,1.624,1.624
"Leganés","No_Lowcost",1.419,1.419,1.419,1.604,1.604,1.604
"León","No_Lowcost",1.429,1.429,1.429,1.599,1.599,1.599
"Linares de Riofrío","No_Lowcost",1.379,1.379,1.379,1.569,1.569,1.569
"Línea de la Concepción (La)","Lowcost",1.279,1.279,1.279,1.479,1.479,1.479
"Línea de la Concepción (La)","No_Lowcost",1.349,1.349,1.349,1.579,1.579,1.579
"Lleida","No_Lowcost",1.389,1.379,1.384,1.609,1.589,1.599
"Llers","Lowcost",1.389,1.389,1.389,1.459,1.459,1.459
"Llíria","No_Lowcost",1.349,1.349,1.349,1.617,1.617,1.617
"Lloret de Mar","No_Lowcost",1.405,1.405,1.405,1.609,1.609,1.609
"Lloseta","No_Lowcost",1.435,1.435,1.435,1.604,1.604,1.604
"Llucmajor","No_Lowcost",1.459,1.445,1.4485,1.649,1.609,1.639
"Lodosa","No_Lowcost",1.389,1.389,1.389,1.584,1.584,1.584
"Lucena","No_Lowcost",1.389,1.389,1.389,1.569,1.569,1.569
"Lugo","No_Lowcost",1.419,1.359,1.389,1.599,1.544,1.5715
"Maçanet de la Selva","No_Lowcost",1.429,1.429,1.429,1.624,1.624,1.624
"Madrigalejo del Monte","No_Lowcost",1.405,1.405,1.405,1.594,1.594,1.594
"Magaz de Pisuerga","No_Lowcost",1.399,1.399,1.399,1.549,1.549,1.549
"Málaga","No_Lowcost",1.419,1.399,1.40775,1.639,1.569,1.61275
"Manresa","No_Lowcost",1.415,1.415,1.415,1.619,1.619,1.619
"Marbella","No_Lowcost",1.399,1.399,1.399,1.639,1.584,1.59775
"Marchena","No_Lowcost",1.385,1.385,1.385,1.584,1.584,1.584
"Martín de Yeltes","No_Lowcost",1.395,1.385,1.39,1.574,1.564,1.569
"Mataró","No_Lowcost",1.439,1.299,1.369,1.619,1.524,1.5715
"Medina-Sidonia","No_Lowcost",1.385,1.385,1.385,1.569,1.569,1.569
"Medina del Campo","No_Lowcost",1.399,1.399,1.399,1.549,1.549,1.549
"Medio Cudeyo","No_Lowcost",1.415,1.415,1.415,1.594,1.594,1.594
"Membrilla","No_Lowcost",1.395,1.395,1.395,1.569,1.569,1.569
"Mengíbar","Lowcost",1.379,1.379,1.379,1.459,1.459,1.459
"Mérida","No_Lowcost",1.419,1.405,1.41433333333333,1.569,1.529,1.549
"Miajadas","No_Lowcost",1.389,1.389,1.389,1.509,1.509,1.509
"Miguelturra","No_Lowcost",1.389,1.389,1.389,1.569,1.569,1.569
"Mijas","No_Lowcost",1.405,1.405,1.405,1.644,1.644,1.644
"Milagros","No_Lowcost",1.385,1.385,1.385,1.599,1.599,1.599
"Miraflores de la Sierra","No_Lowcost",1.419,1.419,1.419,1.604,1.604,1.604
"Mislata","No_Lowcost",1.369,1.369,1.369,1.529,1.529,1.529
"Mojácar","No_Lowcost",1.349,1.349,1.349,1.519,1.519,1.519
"Molina de Aragón","No_Lowcost",1.419,1.389,1.404,1.599,1.589,1.594
"Molina de Segura","Lowcost",1.289,1.289,1.289,1.449,1.449,1.449
"Mollerussa","No_Lowcost",1.369,1.369,1.369,1.569,1.569,1.569
"Mollet del Vallès","No_Lowcost",1.415,1.415,1.415,1.619,1.619,1.619
"Monforte del Cid","No_Lowcost",1.399,1.399,1.399,1.594,1.594,1.594
"Montcada i Reixac","No_Lowcost",1.415,1.415,1.415,1.619,1.619,1.619
"Montemayor","No_Lowcost",1.409,1.409,1.409,1.529,1.529,1.529
"Montijo","No_Lowcost",1.439,1.439,1.439,1.529,1.529,1.529
"Montoro","No_Lowcost",1.389,1.389,1.389,1.569,1.569,1.569
"Moral de Calatrava","No_Lowcost",1.359,1.359,1.359,1.529,1.529,1.529
"Moraleja","No_Lowcost",1.345,1.345,1.345,1.534,1.534,1.534
"Morón de la Frontera","No_Lowcost",1.389,1.389,1.389,1.584,1.584,1.584
"Móstoles","Lowcost",1.389,1.389,1.389,1.519,1.519,1.519
"Móstoles","No_Lowcost",1.429,1.419,1.42233333333333,1.614,1.604,1.609
"Motril","No_Lowcost",1.379,1.379,1.379,1.589,1.589,1.589
"Muela (La)","No_Lowcost",1.375,1.375,1.375,1.574,1.574,1.574
"Murcia","Lowcost",1.299,1.269,1.28383333333333,1.489,1.419,1.45383333333333
"Murcia","No_Lowcost",1.379,1.369,1.37233333333333,1.569,1.509,1.54316666666667
"Muro de Alcoy","No_Lowcost",1.389,1.385,1.38633333333333,1.589,1.579,1.58233333333333
"Muros","No_Lowcost",1.419,1.419,1.419,1.619,1.619,1.619
"Museros","No_Lowcost",1.359,1.359,1.359,1.539,1.539,1.539
"Mutxamel","No_Lowcost",1.385,1.385,1.385,1.585,1.585,1.585
"Navacerrada","No_Lowcost",1.429,1.429,1.429,1.614,1.614,1.614
"Navalcarnero","No_Lowcost",1.419,1.419,1.419,1.609,1.609,1.609
"Navarrete","No_Lowcost",1.389,1.389,1.389,1.569,1.569,1.569
"Noáin (Valle de Elorz)/Noain (Elortzibar)","No_Lowcost",1.429,1.389,1.40233333333333,1.589,1.579,1.584
"Nueno","No_Lowcost",1.388,1.388,1.388,1.558,1.558,1.558
"Ocaña","No_Lowcost",1.415,1.415,1.415,1.589,1.589,1.589
"Olot","No_Lowcost",1.399,1.399,1.399,1.629,1.629,1.629
"Onda","No_Lowcost",1.369,1.349,1.359,1.589,1.534,1.5615
"Ontur","No_Lowcost",1.369,1.369,1.369,1.509,1.509,1.509
"Orgaz","No_Lowcost",1.399,1.399,1.399,1.589,1.589,1.589
"Orihuela","Lowcost",1.26,1.26,1.26,1.46,1.46,1.46
"Orihuela","No_Lowcost",1.412,1.394,1.403,1.589,1.584,1.5865
"Ossa de Montiel","No_Lowcost",1.369,1.369,1.369,1.499,1.499,1.499
"Osuna","No_Lowcost",1.389,1.389,1.389,1.559,1.559,1.559
"Otero","No_Lowcost",1.449,1.449,1.449,1.619,1.619,1.619
"Outes","No_Lowcost",1.359,1.359,1.359,1.594,1.594,1.594
"Oviedo","No_Lowcost",1.409,1.395,1.402,1.579,1.564,1.5715
"Pacs del Penedès","No_Lowcost",1.415,1.415,1.415,1.659,1.659,1.659
"Padul","No_Lowcost",1.389,1.389,1.389,1.579,1.579,1.579
"Paiporta","No_Lowcost",1.319,1.319,1.319,1.519,1.519,1.519
"Palencia","No_Lowcost",1.399,1.389,1.394,1.629,1.559,1.594
"Pallejà","No_Lowcost",1.415,1.415,1.415,1.619,1.619,1.619
"Palma de Mallorca","No_Lowcost",1.449,1.429,1.43866666666667,1.679,1.599,1.62983333333333
"Palma del Condado (La)","No_Lowcost",1.385,1.385,1.385,1.559,1.559,1.559
"Palma del Río","No_Lowcost",1.389,1.379,1.384,1.559,1.559,1.559
"Palmas de Gran Canaria (Las)","No_Lowcost",1.099,1.099,1.099,1.225,1.225,1.225
"Pamplona/Iruña","No_Lowcost",1.399,1.399,1.399,1.609,1.609,1.609
"Pardilla","No_Lowcost",1.385,1.385,1.385,1.599,1.599,1.599
"Paterna","No_Lowcost",1.379,1.379,1.379,1.579,1.579,1.579
"Paterna de Rivera","No_Lowcost",1.399,1.399,1.399,1.609,1.609,1.609
"Pedro Muñoz","No_Lowcost",1.349,1.349,1.349,1.499,1.499,1.499
"Pedroñeras (Las)","No_Lowcost",1.399,1.399,1.399,1.574,1.574,1.574
"Pedrosillo el Ralo","No_Lowcost",1.395,1.385,1.39,1.579,1.569,1.574
"Perales de Tajuña","No_Lowcost",1.429,1.429,1.429,1.614,1.614,1.614
"Petra","No_Lowcost",1.435,1.435,1.435,1.664,1.664,1.664
"Petrer","No_Lowcost",1.395,1.395,1.395,1.584,1.584,1.584
"Piélagos","No_Lowcost",1.405,1.405,1.405,1.584,1.584,1.584
"Pilar de la Horadada","No_Lowcost",1.385,1.385,1.385,1.574,1.574,1.574
"Pinto","No_Lowcost",1.425,1.379,1.402,1.589,1.579,1.584
"Pobla (Sa)","No_Lowcost",1.442,1.442,1.442,1.629,1.629,1.629
"Pobla de Vallbona (la)","No_Lowcost",1.375,1.375,1.375,1.574,1.574,1.574
"Ponferrada","No_Lowcost",1.419,1.405,1.40966666666667,1.624,1.549,1.58733333333333
"Pont de Suert (El)","No_Lowcost",1.369,1.369,1.369,1.569,1.569,1.569
"Pontevedra","No_Lowcost",1.395,1.395,1.395,1.574,1.574,1.574
"Portugalete","No_Lowcost",1.429,1.429,1.429,1.609,1.609,1.609
"Pozoblanco","No_Lowcost",1.409,1.409,1.409,1.549,1.549,1.549
"Prat de Llobregat (El)","Lowcost",1.449,1.449,1.449,1.649,1.649,1.649
"Prat de Llobregat (El)","No_Lowcost",1.415,1.415,1.415,1.659,1.619,1.639
"Priego de Córdoba","No_Lowcost",1.379,1.379,1.379,1.559,1.559,1.559
"Puçol","No_Lowcost",1.375,1.375,1.375,1.574,1.574,1.574
"Puebla de Alfindén (La)","No_Lowcost",1.389,1.389,1.389,1.579,1.579,1.579
"Puebla de Almoradiel (La)","Lowcost",1.398,1.398,1.398,1.548,1.548,1.548
"Puebla de Sancho Pérez","No_Lowcost",1.415,1.415,1.415,1.569,1.569,1.569
"Puerto de Santa María (El)","Lowcost",1.319,1.319,1.319,1.459,1.459,1.459
"Puerto de Santa María (El)","No_Lowcost",1.379,1.359,1.36566666666667,1.619,1.599,1.60566666666667
"Puerto Lumbreras","No_Lowcost",1.379,1.379,1.379,1.559,1.559,1.559
"Puerto Real","No_Lowcost",1.359,1.359,1.359,1.569,1.569,1.569
"Puertollano","No_Lowcost",1.409,1.409,1.409,1.539,1.539,1.539
"Quart de Poblet","No_Lowcost",1.324,1.324,1.324,1.524,1.524,1.524
"Quintanapalla","No_Lowcost",1.429,1.429,1.429,1.589,1.589,1.589
"Quintanilla Vivar","Lowcost",1.385,1.385,1.385,1.569,1.569,1.569
"Riba-roja de Túria","No_Lowcost",1.379,1.379,1.379,1.579,1.579,1.579
"Ribera de Arriba","Lowcost",1.384,1.384,1.384,1.57,1.57,1.57
